Lesion: -1 | Acc: 0.857 | BE: 0.000 
Lesion: 0 | Acc: 0.712 | BE: 0.000 
Lesion: 1 | Acc: 0.503 | BE: 0.000 
Lesion: 2 | Acc: 0.698 | BE: 0.000 
Lesion: 3 | Acc: 0.655 | BE: 0.000 
Lesion: 4 | Acc: 0.831 | BE: 0.000 
Lesion: 5 | Acc: 0.838 | BE: 0.000 
Lesion: 6 | Acc: 0.842 | BE: 0.000 
Lesion: 7 | Acc: 0.849 | BE: 0.000 
Lesion: 8 | Acc: 0.853 | BE: 0.000 
Lesion: 9 | Acc: 0.855 | BE: 0.000 
Lesion: 10 | Acc: 0.861 | BE: 0.000 
Lesion: 11 | Acc: 0.858 | BE: 0.000 
Lesion: 12 | Acc: 0.855 | BE: 0.000 
Lesion: 13 | Acc: 0.855 | BE: 0.000 
Lesion: 14 | Acc: 0.858 | BE: 0.000 
Lesion: 15 | Acc: 0.791 | BE: 0.000 
Lesion: 16 | Acc: 0.851 | BE: 0.000 
Lesion: 17 | Acc: 0.855 | BE: 0.000 
Lesion: 18 | Acc: 0.858 | BE: 0.000 
Lesion: 19 | Acc: 0.857 | BE: 0.000 
Lesion: 20 | Acc: 0.859 | BE: 0.000 
Lesion: 21 | Acc: 0.858 | BE: 0.000 
Lesion: 22 | Acc: 0.857 | BE: 0.000 
Lesion: 23 | Acc: 0.857 | BE: 0.000 
Lesion: 24 | Acc: 0.858 | BE: 0.000 
Lesion: 25 | Acc: 0.857 | BE: 0.000 
Lesion: 26 | Acc: 0.858 | BE: 0.000 
Lesion: 27 | Acc: 0.858 | BE: 0.000 
Lesion: 28 | Acc: 0.858 | BE: 0.000 
Lesion: 29 | Acc: 0.857 | BE: 0.000 
Lesion: 30 | Acc: 0.858 | BE: 0.000 
Lesion: 31 | Acc: 0.858 | BE: 0.000 
Lesion: 32 | Acc: 0.857 | BE: 0.000 
Lesion: 33 | Acc: 0.857 | BE: 0.000 
Lesion: 34 | Acc: 0.859 | BE: 0.000 
Lesion: 35 | Acc: 0.858 | BE: 0.000 
Lesion: 36 | Acc: 0.858 | BE: 0.000 
Lesion: 37 | Acc: 0.858 | BE: 0.000 
Lesion: 38 | Acc: 0.859 | BE: 0.000 
Lesion: 39 | Acc: 0.857 | BE: 0.000 
Lesion: 40 | Acc: 0.859 | BE: 0.000 
Lesion: 41 | Acc: 0.857 | BE: 0.000 
Lesion: 42 | Acc: 0.857 | BE: 0.000 
Lesion: 43 | Acc: 0.858 | BE: 0.000 
Lesion: 44 | Acc: 0.858 | BE: 0.000 
Lesion: 45 | Acc: 0.857 | BE: 0.000 
Lesion: 46 | Acc: 0.858 | BE: 0.000 
Lesion: 47 | Acc: 0.858 | BE: 0.000 
Lesion: 48 | Acc: 0.859 | BE: 0.000 
Lesion: 49 | Acc: 0.858 | BE: 0.000 
Lesion: 50 | Acc: 0.858 | BE: 0.000 
Lesion: 51 | Acc: 0.858 | BE: 0.000 
Lesion: 52 | Acc: 0.859 | BE: 0.000 
Lesion: 53 | Acc: 0.858 | BE: 0.000 
Lesion: 54 | Acc: 0.858 | BE: 0.000 
Lesion: 55 | Acc: 0.858 | BE: 0.000 
Lesion: 56 | Acc: 0.718 | BE: 0.000 
Lesion: 57 | Acc: 0.857 | BE: 0.000 
Lesion: 58 | Acc: 0.858 | BE: 0.000 
